Ratings of selected images (sorted):
Image ID: 522418, Rating: 25.0%
Image ID: 184613, Rating: 4.1666666666666625%
Image ID: 574769, Rating: 21.052631578947366%
Image ID: 309022, Rating: 37.5%
Image ID: 5802, Rating: 3.8461538461538436%
Image ID: 222564, Rating: 50.0%
Image ID: 118113, Rating: 18.181818181818176%
Image ID: 193271, Rating: 19.999999999999996%
Image ID: 224736, Rating: 50.0%
Image ID: 483108, Rating: 25.0%
Image ID: 374628, Rating: 19.999999999999996%
Image ID: 328757, Rating: 28.57142857142857%
Image ID: 384213, Rating: 30.000000000000004%
Image ID: 293802, Rating: 17.391304347826086%
Image ID: 372938, Rating: 22.22222222222222%
Image ID: 384553, Rating: 66.66666666666667%
Image ID: 368402, Rating: 17.647058823529417%
Image ID: 79841, Rating: 33.333333333333336%
Image ID: 515289, Rating: 8.333333333333337%
Image ID: 542145, Rating: 16.666666666666664%
Image ID: 579003, Rating: 75.0%
Image ID: 242611, Rating: 16.666666666666664%
Image ID: 51191, Rating: 25.0%
Image ID: 294832, Rating: 50.0%
Image ID: 462565, Rating: 21.42857142857143%
Image ID: 144941, Rating: 33.333333333333336%
Image ID: 324266, Rating: 33.333333333333336%
Image ID: 111076, Rating: 25.0%
Image ID: 321107, Rating: 22.22222222222222%
Image ID: 229643, Rating: 50.0%
Image ID: 125059, Rating: 33.333333333333336%
Image ID: 455483, Rating: 50.0%
Image ID: 436141, Rating: 50.0%
Image ID: 129001, Rating: 12.5%
Image ID: 232262, Rating: 33.333333333333336%
Image ID: 61181, Rating: 34.210526315789465%
Image ID: 580041, Rating: 19.999999999999996%
Image ID: 326781, Rating: 50.0%
Image ID: 387362, Rating: 33.333333333333336%
Image ID: 138079, Rating: 50.0%
Image ID: 556616, Rating: 50.0%
Image ID: 472621, Rating: 9.999999999999998%
Image ID: 192440, Rating: 9.090909090909093%
Image ID: 50125, Rating: 25.0%
Image ID: 1146, Rating: 50.0%
Image ID: 97434, Rating: 11.111111111111116%
Image ID: 463836, Rating: 25.0%
Image ID: 156832, Rating: 50.0%
Image ID: 270721, Rating: 50.0%
Image ID: 122851, Rating: 7.14285714285714%
Image ID: 268556, Rating: 19.999999999999996%
Image ID: 271177, Rating: 19.999999999999996%
Image ID: 559665, Rating: 50.0%
Image ID: 459912, Rating: 3.57142857142857%
Image ID: 394240, Rating: 6.25%
Image ID: 315601, Rating: 16.216216216216218%
Image ID: 369763, Rating: 14.28571428571429%
Image ID: 199951, Rating: 12.5%
Image ID: 432176, Rating: 50.0%
Image ID: 291380, Rating: 25.0%
Image ID: 77123, Rating: 50.0%
Image ID: 513681, Rating: 35.71428571428571%
Image ID: 560623, Rating: 37.5%
Image ID: 289173, Rating: 33.333333333333336%
Image ID: 52759, Rating: 36.36363636363637%
Image ID: 568623, Rating: 45.16129032258065%
Image ID: 128939, Rating: 19.999999999999996%
Image ID: 339974, Rating: 50.0%
Image ID: 150410, Rating: 33.333333333333336%
Image ID: 242139, Rating: 11.764705882352944%
Image ID: 334321, Rating: 40.0%
Image ID: 381021, Rating: 25.0%
Image ID: 6005, Rating: 66.66666666666667%
Image ID: 125476, Rating: 33.333333333333336%
Image ID: 165547, Rating: 11.111111111111116%
Image ID: 189550, Rating: 50.0%
Image ID: 212663, Rating: 6.666666666666665%
Image ID: 476005, Rating: 23.076923076923073%
Image ID: 450263, Rating: 15.384615384615385%
Image ID: 241691, Rating: 50.0%
Image ID: 450500, Rating: 25.0%
Image ID: 232894, Rating: 16.666666666666664%
Image ID: 29913, Rating: 25.0%
Image ID: 455859, Rating: 19.999999999999996%
Image ID: 235302, Rating: 50.0%
Image ID: 290570, Rating: 9.090909090909093%
Image ID: 127474, Rating: 33.333333333333336%
Image ID: 332654, Rating: 50.0%
Image ID: 38029, Rating: 13.33333333333333%
Image ID: 190056, Rating: 40.0%
Image ID: 236182, Rating: 33.333333333333336%
Image ID: 334405, Rating: 33.333333333333336%
Image ID: 157269, Rating: 46.15384615384615%
Image ID: 573291, Rating: 66.66666666666667%
Image ID: 322654, Rating: 11.111111111111116%
Image ID: 338948, Rating: 4.1666666666666625%
Image ID: 388325, Rating: 14.28571428571429%
Image ID: 65227, Rating: 60.0%
Image ID: 476597, Rating: 11.111111111111116%
Image ID: 426175, Rating: 16.666666666666664%
Image ID: 249720, Rating: 57.14285714285714%
Image ID: 554348, Rating: 57.14285714285714%
Image ID: 463633, Rating: 25.0%
Image ID: 578292, Rating: 33.333333333333336%
Image ID: 522778, Rating: 22.22222222222222%
Image ID: 365366, Rating: 40.0%
Image ID: 46743, Rating: 37.5%
Image ID: 554114, Rating: 19.999999999999996%
Image ID: 52644, Rating: 72.72727272727273%
Image ID: 269394, Rating: 66.66666666666667%
Image ID: 434494, Rating: 28.57142857142857%
Image ID: 542510, Rating: 42.85714285714286%
Image ID: 472795, Rating: 7.14285714285714%
Image ID: 182784, Rating: 2.564102564102566%
Image ID: 54088, Rating: 22.22222222222222%
Image ID: 324383, Rating: 25.0%
Image ID: 224861, Rating: 33.333333333333336%
Image ID: 319865, Rating: 50.0%
Image ID: 551952, Rating: 6.25%
Image ID: 142667, Rating: 26.315789473684216%
Image ID: 350694, Rating: 40.54054054054054%
Image ID: 328421, Rating: 19.999999999999996%
Image ID: 457754, Rating: 33.333333333333336%
Image ID: 109819, Rating: 16.666666666666664%
Image ID: 7682, Rating: 50.0%
Image ID: 540264, Rating: 33.333333333333336%
Image ID: 440646, Rating: 16.666666666666664%
Image ID: 242499, Rating: 39.13043478260869%
Image ID: 511204, Rating: 50.0%
Image ID: 557981, Rating: 33.333333333333336%
Image ID: 260166, Rating: 12.5%
Image ID: 529917, Rating: 42.85714285714286%
Image ID: 451872, Rating: 50.0%
Image ID: 410533, Rating: 33.333333333333336%
Image ID: 420532, Rating: 9.090909090909093%
Image ID: 154202, Rating: 22.22222222222222%
